ep	i	j	time	x	y	z	phi	theta	psi	x_velocity	y_velocity	z_velocity	phi_velocity	theta_velocity	psi_velocity	rotor_speed1	rotor_speed2	rotor_speed3	rotor_speed4	r
20	2	49	3.000000000000002	3.0633780091	6.54167348537	119.785189673	1.90551645646	2.73501036271	0.0	1.87834555428	4.25779691018	-29.6306436692	-5.82986076322	-8.2789693471	0.0	471.335	398.701	433.656	401.486	0.9346989998
20	2	50	3.0600000000000023	3.17252924853	6.79847092936	118.020233102	1.55884046837	2.23987462474	0.0	1.69155209818	4.19592253644	-29.1552193079	-5.74185478982	-8.22549493329	0.0	470.971	399.049	433.658	402.124	0.931309437591
20	2	51	3.1200000000000023	3.25820119677	7.0372735777	116.286923375	1.21679652789	1.74764153672	0.0	1.13438368769	3.74320508245	-28.6456674675	-5.66748931393	-8.180353062	0.0	470.897	399.266	434.274	402.744	0.916300027127
20	2	52	3.1800000000000024	3.30679605141	7.24536462682	114.576792882	0.878810246143	1.25777702459	0.0	0.479869287024	3.18247607085	-28.4173524469	-5.60205980422	-8.14466617794	0.0	471.114	399.507	434.552	403.222	0.900714306924
20	2	53	3.2400000000000024	3.31803190884	7.41959226986	112.867168381	0.544833324461	0.769895482556	0.0	-0.0487977417597	2.63583024644	-28.6495993114	-5.53478965422	-8.11409525753	0.0	471.37	399.956	434.149	403.814	0.891315805768
20	2	54	3.3000000000000025	3.31455756443	7.56219614246	111.121250562	0.215365283367	0.283798828658	0.0	0.0324282611873	2.1211415152	-29.7345566357	-5.4569765289	-8.08511487542	0.0	471.488	400.543	432.91	404.382	0.883470058736
20	2	55	3.3600000000000025	3.32427941486	7.68007757353	109.268694795	6.17470977005	6.08294655428	0.0	0.193715950272	1.90042609757	-32.1815544321	-5.35992076259	-8.04623042915	0.0	470.905	401.395	430.455	404.606	0.881162982972
20	2	56	3.4200000000000026	3.31446750248	7.80274851823	107.260809847	5.8660105999	5.60297078767	0.0	-0.669699684436	2.20843643661	-34.5535914366	-5.13700878537	-7.96521960488	0.0	470.29	405.522	423.344	410.197	0.889646275684
20	2	57	3.4800000000000026	3.24148873291	7.93160417379	105.157644123	5.56654129273	5.13137588792	0.0	-1.63404649558	1.91220974	-35.3632564095	-4.9616079387	-7.82369965852	0.0	465.483	407.359	418.066	403.046	0.898731389506
20	2	58	3.5400000000000027	3.14432958885	8.01308537891	103.020471572	5.27800462405	4.66711739123	0.0	-1.44660682814	0.762487331745	-35.998145347	-4.78104516601	-7.69980812146	0.0	465.684	408.551	416.549	404.075	0.88561026017
